Index,Português,English,,
menu_begin,Começar História,Begin Story,,
menu_continue,Continuar História,Read Story,,
menu_options,Opções,Options,,
menu_exit,Sair,Close,,

Video,Video,Video,,
Audio,Audio,Audio,,
menu_back,Voltar,Back,,

menu_load1,Livro 1,Book 1,,
menu_load2,Livro 2,Book 2,,
menu_load3,Livro 3,Book 3,,

fullscreen,Tela Cheia,Fullscreen,,
locate,Idioma,Language,,

menu_continue,Continuar,Continue,,
menu_backMenu,Voltar ao Menu,Main Menu,,

cutIntro0Ln1,Em um tempo tão distante que até mesmo os imortais,A long time ago when even the imortals,,
cutIntro0Ln2,poderiam esquecer de seus acontecimentos,could forget about this story,,

cutIntro1,Havia um homem,There was a man,,

cutIntro2Ln1,Seu nome era,His Name was,,
cutIntro2Ln2,Kassius,Kassius,,